"","concept_id","concept_code","concept_name","domain","vocabulary","is_standard","include_descendants"
"1",45757102,"10746341000119109","Acquired immune deficiency syndrome complicating childbirth","Condition","SNOMED","S",FALSE
"2",45769441,"708093000","Acute exacerbation of allergic asthma","Condition","SNOMED","S",FALSE
"3",46273452,"99031000119107","Acute exacerbation of asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",FALSE
"4",44782655,"698296002","Acute exacerbation of chronic congestive heart failure","Condition","SNOMED","S",FALSE
"5",46270376,"293241000119100","Acute exacerbation of chronic obstructive bronchitis","Condition","SNOMED","S",FALSE
"6",45773005,"708094006","Acute exacerbation of intrinsic asthma","Condition","SNOMED","S",FALSE
"7",44784490,"698646006","Acute monoblastic leukemia in remission","Condition","SNOMED","S",FALSE
"8",44807009,"815361000000107","Acute myeloid leukaemia with 11q23 abnormality","Condition","SNOMED","S",FALSE
"9",44807895,"847091000000104","Acute non-infective exacerbation of chronic obstructive pulmonary disease","Condition","SNOMED","S",FALSE
"10",44782733,"153951000119103","Acute on chronic combined systolic and diastolic heart failure","Condition","SNOMED","S",FALSE
"11",45769438,"708090002","Acute severe exacerbation of asthma","Condition","SNOMED","S",FALSE
"12",46269767,"10674711000119105","Acute severe exacerbation of asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",FALSE
"13",45769442,"708095007","Acute severe exacerbation of immunoglobin E-mediated allergic asthma","Condition","SNOMED","S",FALSE
"14",45769443,"708096008","Acute severe exacerbation of intrinsic asthma","Condition","SNOMED","S",FALSE
"15",46274124,"10675911000119109","Acute severe exacerbation of mild persistent allergic asthma","Condition","SNOMED","S",FALSE
"16",46269777,"10675991000119100","Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",FALSE
"17",45769352,"707981009","Acute severe exacerbation of mild persistent asthma","Condition","SNOMED","S",FALSE
"18",46273462,"10676431000119103","Acute severe exacerbation of moderate persistent allergic asthma","Condition","SNOMED","S",FALSE
"19",45769351,"707980005","Acute severe exacerbation of moderate persistent asthma","Condition","SNOMED","S",FALSE
"20",46269785,"10676511000119109","Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",FALSE
"21",46274059,"10675471000119109","Acute severe exacerbation of severe persistent allergic asthma","Condition","SNOMED","S",FALSE
"22",45769350,"707979007","Acute severe exacerbation of severe persistent asthma","Condition","SNOMED","S",FALSE
